reported_date,testing_start_date,testing_end_date,board_IDs,school_boards,school_ID,testing_sites
2021-04-23,2021-04-29,,B66044,Thames Valley District School Board,904503,Lord Dorchester Secondary School
2021-04-23,2021-04-24,,B66087,Trillium Lakelands District School Board,915297,Haliburton Highland Secondary School
2021-04-23,2021-04-24,,B66192,Upper Canada District School Board,929859,North Grenville District High School
2021-04-23,2021-04-25,,B66117,Upper Grand District School Board,900214,Centre Dufferin District High School
2021-04-23,2021-04-28,,B66117,Upper Grand District School Board,311316,Laurelwoods Elementary School
2021-04-23,2021-04-29,,B66117,Upper Grand District School Board,590665,Waverley Drive Public School
2021-04-23,2021-04-24,2021-04-25,B66176,Waterloo Region District School Board,895458,Bluevale Collegiate Institute
2021-04-23,2021-04-24,,B67130,Wellington Catholic District School Board,798690,St James Catholic School
2021-04-23,2021-04-24,,B67024,Windsor-Essex Catholic District School Board,715824,Holy Names Catholic High School
2021-04-23,2021-04-28,2021-04-29,B67075,York Catholic District School Board,874888,Our Lady Queen of the World CA High School
2021-04-23,2021-04-28,2021-04-29,B66095,York Region District School Board,917893,Huron Heights Secondary School
2021-04-23,2021-04-28,2021-04-29,B66095,York Region District School Board,890202,Bill Hogarth Secondary School
2021-04-23,2021-04-28,2021-04-29,B66095,York Region District School Board,952516,Westmount Collegiate Institute
2021-04-30,2021-05-01,,B66010,Avon Maitland District School Board,927120,Mitchell District High School
2021-04-30,2021-05-01,,B67008,Bruce-Grey Catholic District School Board,737399,Notre Dame Catholic School
2021-04-30,2021-05-01,,B67172,Catholic District School Board of Eastern Ontario,767431,St. Joseph Intermediate Catholic School
2021-04-30,2021-05-01,,B67334,Conseil scolaire de district catholique du Centre-Est de l’Ontario,804005,École secondaire catholique Notre-Dame
2021-04-30,2021-05-02,,B66303,Conseil scolaire Viamonde,572312,École élémentaire Gaetan-Gervais
2021-04-30,2021-05-05,,B66150,District School Board of Niagara,914517,Grimsby Secondary School
2021-04-30,2021-05-01,,B67083,Dufferin-Peel Catholic District School Board,718114,Holy Name of Mary Secondary School
2021-04-30,2021-05-01,,B67083,Dufferin-Peel Catholic District School Board,850217,St Sebastian Catholic Elementary School
2021-04-30,2021-05-02,,B67083,Dufferin-Peel Catholic District School Board,772496,St Andrew School
2021-04-30,2021-05-02,,B67083,Dufferin-Peel Catholic District School Board,687308,Ascension of Our Lord Secondary School
2021-04-30,2021-05-01,,B67105,Durham Catholic District School Board,685984,All Saints Catholic Secondary School Secondary School
2021-04-30,2021-05-05,,B67105,Durham Catholic District School Board,826278,St Mary Catholic Secondary School
2021-04-30,2021-05-04,,B66060,Durham District School Board,932345,Maxwell Heights Secondary School
2021-04-30,2021-05-01,,B66168,Grand Erie District School Board,898007,McKinnon Park Secondary School
2021-04-30,2021-05-01,,B66028,Greater Essex County District School Board,939765,Sandwich Secondary School
2021-04-30,2021-05-04,,B67113,Halton Catholic District School Board,696392,St. Francis Xavier Catholic Secondary School
2021-04-30,2021-05-05,,B67113,Halton Catholic District School Board,761182,Corpus Christi Catholic Secondary School
2021-04-30,2021-05-01,,B66133,Halton District School Board,893675,Dr. Frank J. Hayden Secondary School
2021-04-30,2021-05-06,,B66133,Halton District School Board,893675,Dr. Frank J. Hayden Secondary School
2021-04-30,2021-05-01,,B67121,Hamilton-Wentworth Catholic District School Board,800430,St. Jean de Brebeuf Catholic Secondary School
2021-04-30,2021-05-07,,B67121,Hamilton-Wentworth Catholic District School Board,855685,St. Thomas More Catholic Secondary School
2021-04-30,2021-05-05,,B66141,Hamilton-Wentworth District School Board,941328,Sherwood Secondary School
2021-04-30,2021-05-01,,B66079,Kawartha Pine Ridge District School Board,936090,Port Hope High School
2021-04-30,2021-05-05,,B28045,Keewatin-Patricia District School Board,937789,Red Lake District High School
2021-04-30,2021-05-06,,B28045,Keewatin-Patricia District School Board,157503,Ear Falls Public School
2021-04-30,2021-05-07,,B28045,Keewatin-Patricia District School Board,918113,Ignace Secondary School
2021-04-30,2021-05-01,2021-05-03,B28045,Keewatin-Patricia District School Board,936871,Sioux North District High School
2021-04-30,2021-05-02,,B66036,Lambton Kent District School Board,895148,Blenheim District High School
2021-04-30,2021-05-05,,B67032,London District Catholic School Board,704253,Holy Cross Catholic Secondary School
2021-04-30,2021-05-05,,B67156,Niagara Catholic District School Board,726087,Lakeshore Catholic High School
2021-04-30,2021-05-01,,B66125,Peel District School Board,195640,Eagle Plains Public School
2021-04-30,2021-05-01,,B66125,Peel District School Board,332933,Morton Way Public School
2021-04-30,2021-05-02,,B66125,Peel District School Board,30880,Balmoral Drive Senior Public School
2021-04-30,2021-05-02,,B66125,Peel District School Board,107280,Ruth Thompson Middle School
2021-04-30,2021-05-01,,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,851116,St. Stephen Catholic Secondary School
2021-04-30,2021-05-07,,B66214,Renfrew County District School Board,904767,Mackenzie Community School - Secondary School
2021-04-30,2021-05-01,,B67091,Simcoe Muskoka Catholic District School Board,773050,St Thomas Aquinas Catholic Secondary School
2021-04-30,2021-05-05,,B67091,Simcoe Muskoka Catholic District School Board,786691,St Dominic Catholic Secondary School
2021-04-30,2021-05-04,,B66044,Thames Valley District School Board,931934,Oakridge Secondary School
2021-04-30,2021-05-06,,B66044,Thames Valley District School Board,918156,Ingersoll District Collegiate Institute
2021-04-30,2021-05-06,,B67059,Toronto Catholic District School Board,731951,Father John Redmond Catholic Secondary School
2021-04-30,2021-05-07,,B66052,Toronto District School Board,890880,Albert Campbell Collegiate Institute
2021-04-30,2021-05-01,,B66087,Trillium Lakelands District School Board,368946,Monck Public School
2021-04-30,2021-05-01,,B66192,Upper Canada District School Board,892807,Athens District High School
2021-04-30,2021-05-02,,B66192,Upper Canada District School Board,938300,Rideau District High School
2021-04-30,2021-05-01,,B66117,Upper Grand District School Board,590665,Waverley Drive Public School
2021-04-30,2021-05-02,,B66117,Upper Grand District School Board,311316,Laurelwoods Elementary School
2021-04-30,2021-05-05,,B66117,Upper Grand District School Board,932450,Orangeville District Secondary School
2021-04-30,2021-05-06,,B66117,Upper Grand District School Board,918679,John F Ross Collegiate and Vocational Institute
2021-04-30,2021-05-01,,B66176,Waterloo Region District School Board,908142,Elmira District Secondary School
2021-04-30,2021-05-02,,B66176,Waterloo Region District School Board,951048,Waterloo-Oxford District Secondary School
2021-04-30,2021-05-06,2021-05-07,B67075,York Catholic District School Board,849901,Father Bressani Catholic High School
2021-04-30,2021-05-06,2021-05-07,B66095,York Region District School Board,894672,Pierre Elliott Trudeau High School
2021-04-30,2021-05-06,2021-05-07,B66095,York Region District School Board,924849,Markville Secondary School
2021-04-30,2021-05-06,2021-05-07,B66095,York Region District School Board,908819,Emily Carr Secondary School
2021-05-07,2021-05-09,,B28010,Algoma District School Board,264750,Hornepayne Public School
2021-05-07,2021-05-13,,B66001,Bluewater District School Board,290604,Saugeen District Senior School
2021-05-07,2021-05-08,,B67164,Brant Haldimand Norfolk Catholic District School Board,720232,Holy Trinity Catholic High School
2021-05-07,2021-05-08,,B67008,Bruce-Grey Catholic District School Board,732800,St Teresa of Calcutta Catholic School
2021-05-07,2021-05-08,,B67172,Catholic District School Board of Eastern Ontario,828726,St Mary's Separate School
